graph,node,sol,distance,iter,time
1,0,"[2, 1, 2]",1,14,0.00029087066650390625
1,0,"[2, 1, 2]",5,15,0.00020885467529296875
1,0,"[2, 1, 2]",10,16,0.0004978179931640625
1,0,"[2, 1, 2]",20,16,0.00021505355834960938
1,0,"[2, 1, 2]",50,16,0.00021004676818847656
1,0,"[2, 1, 2]",100,16,0.0002079010009765625
1,1,"[2, 1, 2]",1,14,0.00019788742065429688
1,1,"[2, 1, 2]",5,15,0.0002009868621826172
1,1,"[2, 1, 2]",10,15,0.00020194053649902344
1,1,"[2, 1, 2]",20,15,0.00020194053649902344
1,1,"[2, 1, 2]",50,15,0.00020313262939453125
1,1,"[2, 1, 2]",100,15,0.000202178955078125
1,2,"[2, 1, 2]",1,14,0.00019931793212890625
1,2,"[2, 1, 2]",5,13,0.00019288063049316406
1,2,"[2, 1, 2]",10,13,0.00019216537475585938
1,2,"[2, 1, 2]",20,13,0.00019979476928710938
1,2,"[2, 1, 2]",50,13,0.00019502639770507812
1,2,"[2, 1, 2]",100,13,0.00019288063049316406
1,3,"[2, 1, 2]",1,13,0.00019311904907226562
1,3,"[2, 1, 2]",5,13,0.00019311904907226562
1,3,"[2, 1, 2]",10,12,0.0001888275146484375
1,3,"[2, 1, 2]",20,10,0.00017714500427246094
1,3,"[2, 1, 2]",50,10,0.00021004676818847656
1,3,"[2, 1, 2]",100,10,0.00021600723266601562
2,5,"[5, 6, 5]",1,16,0.0004019737243652344
2,5,"[5, 6, 5]",5,16,0.0003879070281982422
2,5,"[5, 6, 5]",10,16,0.00039005279541015625
2,5,"[5, 6, 5]",20,16,0.00039076805114746094
2,5,"[5, 6, 5]",50,16,0.000514984130859375
2,5,"[5, 6, 5]",100,16,0.00042700767517089844
2,6,"[5, 6, 5]",1,15,0.0003960132598876953
2,6,"[5, 6, 5]",5,15,0.00038909912109375
2,6,"[5, 6, 5]",10,15,0.00041604042053222656
2,6,"[5, 6, 5]",20,15,0.00030112266540527344
2,6,"[5, 6, 5]",50,15,0.00021910667419433594
2,6,"[5, 6, 5]",100,15,0.0002002716064453125
2,3,"[5, 6, 5]",1,15,0.00019812583923339844
2,3,"[5, 6, 5]",5,15,0.00019478797912597656
2,3,"[5, 6, 5]",10,15,0.00020813941955566406
2,3,"[5, 6, 5]",20,15,0.00020003318786621094
2,3,"[5, 6, 5]",50,15,0.00019407272338867188
2,3,"[5, 6, 5]",100,15,0.00019598007202148438
2,0,"[5, 6, 5]",1,15,0.00021195411682128906
2,0,"[5, 6, 5]",5,15,0.0002079010009765625
2,0,"[5, 6, 5]",10,15,0.00019407272338867188
2,0,"[5, 6, 5]",20,15,0.00019311904907226562
2,0,"[5, 6, 5]",50,15,0.0003018379211425781
2,0,"[5, 6, 5]",100,15,0.0002129077911376953
